material,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
316,76376.34,40580.11,10744.04,43108.98,42864.22,15200.34,29444.81,22280.82,32488.13,40439.97,24733.08,71597.19,56251.52,56741.24,91089.5,26557.68,21746.17,41892.83,11175.86,61681.71,26015.83,11369.84,22149.99,44869.82,9613.07,36519.57,17889.16,71415.74,18000.0,4505.23,50366.32,11922.57,99910.55,98687.42,81747.48,57472.49,37199.17,150777.38,120290.06,10708.13,14839.25,45160.41,36050.08,52284.19,30476.56,79501.66,25662.64,38585.72,67805.29,63704.33,76295.64,114605.89
317,31352.84,28285.8,19125.12,25366.75,17379.22,29402.73,28960.93,32072.53,44965.35,35391.43,7287.28,84022.71,51113.64,92300.5,60345.11,127324.9,70883.81,38024.8,67310.66,27782.97,35855.9,8318.42,74783.58,137263.68,59103.84,16324.17,39072.87,31182.53,156725.62,20824.44,72558.81,94584.39,36095.63,27263.3,46392.4,64863.98,22693.29,34799.73,57636.79,29169.88,13615.1,76112.05,36705.69,97256.4,23343.59,117015.45,58088.2,4903.58,133875.27,69789.86,32969.07,103496.15
318,72899.96,19334.31,39307.49,27766.98,55889.31,60236.19,5987.63,134698.91,23253.33,64108.03,50784.07,38253.56,49370.0,80178.39,48548.2,107849.61,68115.47,30419.68,73164.07,14677.83,61766.95,63303.61,32570.94,54044.03,86927.59,31948.54,64672.05,77221.56,28825.88,58381.28,75042.91,70260.36,52980.18,77922.8,82102.07,38710.04,50618.91,22502.88,45477.19,1443.63,127872.27,13461.19,44500.03,37448.59,37168.87,13124.78,54071.64,46858.6,89436.96,41631.23,103175.07,18447.26
319,16521.42,34040.22,41803.69,34899.8,15041.76,54363.38,32860.47,178347.79,67126.31,28050.79,36768.36,10538.08,46266.94,49333.57,34686.85,38225.92,24083.61,46608.96,28990.72,180667.92,32488.01,108108.79,116520.55,32987.52,22119.37,14237.22,31488.0,34120.79,171408.42,16328.61,37822.3,3936.87,71176.04,77436.53,45281.78,88690.18,41099.24,12009.12,74976.76,29822.52,38145.27,39668.53,82779.37,52758.56,51574.32,20219.33,14389.3,5732.02,95703.12,132026.55,50234.41,45932.52
320,36494.19,51112.55,40034.69,37487.77,23877.16,29770.77,20163.55,22351.81,141357.9,71163.44,228531.84,29615.5,22151.95,31833.39,24101.74,29145.46,14504.55,25327.07,19469.62,12886.4,95130.9,29420.35,24398.87,148426.61,16799.48,34548.51,20448.51,16718.09,36561.08,46656.41,17416.59,77926.42,16100.62,62991.33,10945.04,61745.1,92419.17,59959.16,35913.37,44686.43,70753.27,81761.31,85641.68,31083.46,25398.61,240945.39,79562.72,29660.56,103259.74,94213.94,56746.33,39650.89
321,40803.3,6112.25,47660.32,32177.41,106342.73,118152.63,78882.92,20387.43,7832.39,44560.24,56140.75,44989.98,3127.13,24251.83,34043.36,43833.75,21589.18,74368.5,69124.6,99922.41,57413.0,2571.26,66940.36,19958.24,56590.28,82106.68,91114.18,63711.51,39350.8,60455.59,64055.48,33475.64,8302.43,55358.03,33602.88,13322.95,9259.53,4766.95,109491.91,33489.81,20346.54,109189.35,87302.94,38577.14,127505.57,105830.56,22903.25,143229.57,12231.68,95827.67,21421.59,32330.32
322,26147.03,52564.27,15048.48,65484.53,138446.16,20765.26,8207.65,90001.16,71000.97,22986.83,7891.98,91138.34,32241.17,47758.58,64230.62,88289.63,119333.36,24913.21,22456.43,56030.2,38327.0,4560.49,50199.55,26654.85,75826.67,90663.42,51984.24,43188.5,16611.59,162854.94,26581.82,18818.69,54915.25,73365.47,63124.08,86646.85,114155.56,77245.73,73938.71,5192.78,57755.87,35371.18,60479.23,48081.26,54636.85,36545.07,93669.07,58579.1,7300.47,61247.5,30991.97,62176.41
323,27252.03,14542.74,12090.67,54182.47,26173.91,77723.22,50213.99,26398.59,138868.68,41909.34,24747.72,47337.93,26188.5,22602.37,41955.61,18131.88,110714.86,57540.99,105380.73,12364.16,25436.0,98582.83,44983.27,50946.73,43411.09,78714.22,28344.04,188173.54,22545.18,53404.07,125198.66,53251.81,71380.73,7301.25,9206.98,68066.89,45256.81,70085.67,60424.86,85440.82,112379.14,98603.35,39715.17,18523.5,42341.66,51887.62,61452.4,6275.98,25491.56,65714.44,43922.16,2309.51
324,39884.99,49882.19,51415.79,13907.87,17716.04,37364.74,59662.6,51042.99,6763.57,61207.14,71742.66,85103.77,2422.07,126887.98,24302.43,105788.39,149022.05,13836.89,43394.73,87067.15,36015.38,3495.97,44557.5,70262.95,35412.75,43536.4,124576.5,96293.62,16779.42,101463.21,44710.32,12955.84,51758.57,39129.06,31538.71,10750.69,72097.83,24849.12,11962.85,160617.61,74998.76,25920.35,53965.16,89965.76,17892.52,87497.56,45294.28,8688.56,10049.4,49329.17,31733.34,88008.71
325,60811.4,45754.6,47721.51,14909.95,27438.83,84908.47,76091.18,51101.41,20755.55,66647.94,32250.9,22589.14,39248.93,60713.76,55367.14,38366.36,16443.45,14754.03,6916.57,8733.59,35345.52,115507.74,35398.92,49183.16,9655.36,38137.0,21414.28,131096.12,40033.77,20295.84,44010.91,105745.25,169666.84,46447.64,93256.73,61758.34,186473.98,29618.82,36250.08,17073.23,23143.69,29631.51,12279.46,43050.33,25835.69,43729.46,20408.8,37068.08,70011.06,125684.38,95721.16,71133.66
326,25172.48,18520.69,103568.69,20446.85,19536.28,102932.54,157387.58,147906.73,33435.82,9011.3,29046.53,42989.3,6004.07,23674.02,31377.08,51215.43,63197.75,46275.89,28871.81,21688.03,7724.62,57672.16,22259.91,35190.95,15171.49,47945.76,11483.07,21132.01,15655.9,31313.88,66497.52,17710.04,10378.48,68282.71,53729.85,47947.68,43738.2,8682.68,73082.1,63575.72,17399.17,142471.95,32032.32,26258.41,13911.39,27550.83,45356.24,48169.11,93310.24,54624.33,234.65,40416.27
327,4217.21,35066.59,20538.03,15285.21,87160.39,79508.42,4416.43,19048.27,74223.18,31443.87,54337.64,20133.89,19304.96,63456.48,153865.71,10155.48,71521.07,15187.54,48497.91,26148.08,4507.67,5841.07,91860.11,43798.89,30272.33,29482.17,29827.85,103604.93,36401.74,22674.66,19733.98,6933.24,41001.55,63515.65,45605.61,36833.81,120100.93,19271.82,39039.3,9584.88,30264.58,8444.95,28926.32,32862.84,10977.49,12454.07,49564.83,105998.6,48339.07,81876.79,8823.72,38548.59
328,15549.49,56657.76,42479.73,35489.44,38070.96,32597.15,6370.75,42598.58,82065.08,14136.47,40047.46,49163.44,62933.28,20131.53,59228.41,32720.03,101130.77,35111.54,29388.53,65292.7,64525.91,62429.54,22659.67,48080.92,26673.51,34405.26,15799.6,88835.4,26512.77,10509.64,42691.61,67317.84,24920.8,17523.35,4506.85,40095.51,73282.04,17799.66,13802.74,54600.15,24505.2,78718.25,21523.23,27022.84,42703.85,7680.9,32704.13,74665.21,72734.21,113884.76,31418.78,26198.42
329,19871.06,96235.43,38817.5,21578.65,13127.0,14479.95,118619.15,16884.51,27643.69,95838.42,4831.3,9937.85,75328.87,57632.37,24144.86,148156.67,14529.42,8782.53,27941.72,34177.01,63627.83,28025.69,7812.76,22497.21,10215.88,75942.96,53985.2,94626.39,23079.16,58875.51,80349.56,39494.13,86925.59,31215.82,28147.86,30360.6,48285.27,28674.77,16924.71,24777.77,23166.22,16166.96,56358.52,19287.88,6092.91,19741.68,30706.13,124740.2,34462.29,53570.76,49022.35,102732.98
330,8502.84,37564.24,3807.86,4546.92,53890.73,48954.88,72242.89,91188.55,10278.6,63227.82,45151.05,67473.71,59586.92,86777.87,68714.69,17944.33,16757.35,40832.12,56943.72,125219.62,56013.91,65532.05,34273.61,87932.89,24169.69,30455.81,66188.39,43372.03,16011.97,22442.03,81908.02,63766.83,30643.61,54469.89,67225.8,28894.45,88472.79,25904.4,44668.12,19070.65,8826.89,104008.88,11475.36,23130.68,21699.95,26698.3,38223.63,56003.07,54834.73,92735.52,23197.8,131492.06
331,6993.82,44409.72,40746.52,74401.45,1572.12,25271.06,165521.0,54748.11,55214.41,59259.09,31914.23,19637.41,20923.63,147273.65,16826.84,102494.98,5715.52,106030.91,36373.76,68075.48,10302.36,116585.11,53531.1,31175.91,35290.03,105169.96,140041.36,41351.25,90107.95,71558.09,128221.76,66829.48,62001.4,13252.86,41826.5,58273.57,49407.21,26275.78,126410.37,51469.48,107289.11,46381.76,11182.42,16681.96,21201.55,87312.65,7020.79,79204.66,22766.59,55973.73,110532.51,16905.31
332,26380.01,56603.05,93278.52,40034.64,88365.45,42047.76,43937.9,53464.77,52997.99,44110.97,9556.52,27812.88,18197.68,98743.81,63656.25,123974.39,38790.77,34378.98,97594.89,60656.96,69686.62,19942.24,20410.41,22728.88,54505.32,15515.84,7248.92,121741.84,36652.63,73501.08,37676.61,67464.89,28629.36,35410.41,24004.89,52306.16,25523.58,2394.08,54401.94,38054.15,18398.63,145693.03,52339.42,68127.77,66319.69,51350.32,58191.65,11628.55,62432.16,58563.04,51247.58,52746.72
333,3879.23,40481.2,102169.84,30108.11,103870.2,21322.62,74472.61,65259.26,42238.73,76482.11,69308.47,27226.42,55288.42,164827.18,87451.54,71291.46,40623.98,12580.75,14005.54,42485.36,132187.41,30041.77,6994.89,72290.84,64948.17,42664.86,18788.39,108282.35,23378.3,39082.63,25144.45,14616.8,26418.39,45260.96,5565.11,32844.73,30576.27,25159.9,23107.47,48433.21,66145.23,27246.83,44534.04,92297.02,29097.08,35740.35,26801.67,90518.55,33549.96,100150.98,98961.47,217583.2
334,45619.73,37199.41,18792.67,32874.23,18887.52,32018.95,24772.24,12689.32,61899.15,8708.2,70928.33,99507.56,27444.25,34510.97,25270.44,100986.58,45748.97,42275.25,24977.61,56927.45,66153.13,7168.51,115115.51,21059.94,15614.99,49442.22,10448.95,27221.29,27496.13,27010.66,28326.6,19275.81,42742.08,52192.44,16530.36,19054.29,18759.79,14709.48,39012.15,9895.6,49202.85,12514.83,75100.41,13313.98,74685.8,48453.49,6321.48,11333.23,28608.38,47903.87,9489.47,49137.72
335,15698.51,97384.65,12699.37,59395.54,38526.77,48727.89,40139.8,48435.74,23446.37,93104.53,58409.71,164787.31,86676.46,27467.35,100585.65,4193.41,54131.27,19762.7,36674.76,95464.55,47232.25,71134.0,41969.96,71272.5,109034.06,53677.02,69261.54,10459.6,157831.56,32690.42,28064.79,6596.1,91125.12,11859.19,54968.81,30678.01,89290.21,16323.69,72699.2,20042.77,91279.79,31758.27,60440.68,52168.24,43091.24,69839.23,32989.9,22091.41,105153.94,22086.98,27042.77,19207.61
336,42250.42,95816.79,22826.32,13189.34,84758.45,37267.1,16099.1,20830.89,116277.57,6955.0,53329.39,58736.14,63389.58,42401.29,154551.5,32186.53,34112.42,62798.72,30337.67,37853.35,87316.68,95110.2,16776.29,52059.22,73635.94,41456.87,46368.77,26980.12,70446.19,14298.88,95326.06,45239.71,44326.71,124456.69,85205.61,41628.59,10469.99,80323.05,51542.3,37708.87,30385.6,21208.06,98197.41,25987.77,53838.14,68757.74,64058.35,52769.84,103520.34,114187.08,44703.18,40632.87
337,23674.81,37609.73,49849.93,20838.91,74617.65,63750.38,88182.01,117462.4,11170.82,20213.11,72910.81,18241.75,46544.86,30198.09,19005.55,95416.36,59706.73,63684.14,13877.86,57413.58,53947.29,27780.12,117300.92,41410.6,29154.79,25585.95,22261.45,112071.86,62069.06,58570.86,74139.59,67298.0,55142.22,38189.54,123060.12,37036.09,122061.69,83219.74,66934.64,44886.52,58362.04,30671.86,27245.48,45104.53,89145.11,20219.8,69898.71,46955.45,25699.88,107381.48,12068.8,79351.95
338,10420.2,91722.51,13814.03,29212.65,53380.71,23438.77,34307.42,9411.46,16387.54,61573.41,28712.9,56934.18,28189.07,83689.25,12806.79,9554.37,48614.95,26256.55,29069.95,51667.36,44327.1,30605.2,43015.66,104584.83,6944.91,22659.92,23924.24,84415.87,79044.4,80064.41,4335.56,74838.98,89382.78,122447.69,101920.27,60933.76,8279.92,28942.26,27412.22,18838.67,18792.96,33630.48,165972.72,34822.16,7313.63,41727.34,14477.69,127038.09,82570.41,164779.2,46005.02,38340.11
339,69276.77,39092.46,47109.73,72472.46,20221.93,8153.08,50280.53,81323.47,19162.0,9260.7,9014.23,8901.47,27036.17,39637.53,51145.11,64179.13,36934.49,48344.35,12173.83,57932.73,47355.93,82043.2,160621.96,34086.14,42141.86,1837.55,52353.7,25419.77,15889.77,31283.57,18057.11,37108.73,62704.76,19084.75,33295.0,75973.76,72148.51,9154.67,92215.56,28093.22,7681.38,44132.17,28803.89,65533.11,23088.99,37266.91,28877.07,35423.47,38490.37,48487.92,6945.66,79019.61
340,75022.6,62359.48,42725.45,13405.04,50357.25,72871.3,34861.37,87543.18,89210.32,9990.04,53323.36,47078.54,99834.02,97901.29,5907.67,149805.56,59794.26,32138.07,23324.56,162660.98,4769.74,32376.37,145312.62,17257.56,81202.24,92240.91,56873.47,112630.97,99292.55,151883.47,51362.13,14770.52,38468.11,146213.59,80332.4,64975.1,22664.59,13226.16,12991.96,29281.63,20361.42,97925.84,31668.53,56129.83,51984.71,38003.74,69742.32,94779.11,33766.55,51843.05,42082.21,37209.29
341,34403.46,64448.7,5038.53,55814.6,79966.7,5390.46,14407.16,47768.43,52663.86,45050.55,68513.65,89860.89,6189.03,39211.32,62415.75,58622.18,42331.97,45224.0,7723.19,22133.4,174822.56,69472.41,107409.44,19584.97,9845.23,57718.39,50225.88,9101.39,4872.2,7639.89,24158.69,79787.2,16570.0,20495.52,124625.08,16836.23,49886.76,123132.55,12877.45,127247.94,52235.87,43439.72,25891.98,45678.75,20478.08,190686.88,26105.36,167612.11,127919.38,91044.47,33867.89,54790.19
342,115193.81,53280.8,20412.93,65490.05,33374.8,24170.85,66408.43,6547.27,48037.4,21696.13,6716.37,20817.58,26946.37,189502.92,143546.84,103139.01,62424.97,44263.47,56402.41,145544.79,27636.82,10360.15,21635.09,44617.99,115694.93,40906.85,17128.23,25053.74,11205.92,13307.71,86741.72,78135.48,28204.36,12249.8,69278.8,37123.84,64699.03,20081.57,55311.1,92942.85,64815.06,86336.96,61451.42,18572.95,40592.81,248715.38,56070.25,83161.17,23673.15,51995.82,32668.62,55325.46
343,66008.39,40845.37,19038.08,7477.88,62078.78,2835.42,63568.35,41669.29,34986.54,72619.58,60755.92,154071.03,68448.2,15805.62,10092.04,47260.04,6425.77,14045.07,44022.54,40515.58,7453.93,10780.57,6264.97,52640.52,22481.63,35640.22,48262.68,13161.1,98383.48,35109.54,19416.05,46651.61,38913.09,82595.06,12453.24,58366.48,9419.04,101124.85,23060.18,5466.2,80313.35,24114.86,62296.11,39252.89,24006.73,121838.58,76265.53,23115.52,56103.72,78974.18,71164.14,1742.07
344,57689.06,28266.87,19837.91,46945.75,90700.16,32158.67,22848.8,117715.24,69458.93,8756.87,52115.86,39428.66,38410.94,33015.29,91574.62,40383.33,12125.13,69144.93,15814.99,43341.06,84548.83,51106.41,24323.88,58250.01,168917.31,16763.64,69389.18,63552.53,2712.37,24204.87,22859.99,30482.86,28959.2,12994.35,74316.38,41275.78,26649.08,25344.02,35030.4,45387.78,54664.24,68764.35,33760.05,107916.26,1845.46,172177.33,22214.83,14654.66,59973.81,29543.75,61439.84,64600.03
345,38932.24,60055.47,30911.4,18135.99,33841.44,66463.25,99733.26,10148.48,31864.57,33089.69,79621.96,81328.24,32036.76,10617.79,142434.5,79058.19,37393.42,13514.48,57806.71,107611.45,50245.49,29089.29,125402.87,26415.09,44689.81,14524.62,62573.29,33504.5,32293.76,62520.14,11618.28,148301.49,200281.34,72159.61,46701.32,45920.34,17207.46,48950.36,77087.72,39969.05,43163.31,23450.59,41739.87,73526.58,43487.98,19613.94,10402.93,19281.5,59949.16,20323.07,4793.0,116517.31
346,18882.08,30060.15,24696.28,71162.92,69690.31,38642.69,70287.65,104996.08,130939.12,46397.75,43692.79,14075.25,40999.91,111824.94,67431.89,27328.39,106251.23,8677.38,49229.12,22897.96,74127.59,15691.9,32878.67,42986.2,22661.03,97727.64,47718.42,82392.03,50833.92,71983.11,59802.09,58856.47,85457.28,9697.78,58724.25,42521.53,61039.3,18509.99,121720.27,87383.58,34138.44,61066.38,22388.14,30716.2,23170.33,46054.57,50658.65,78012.29,58409.89,97139.42,135821.35,25846.12
347,109363.27,18815.63,57544.72,83025.65,55963.2,41365.61,7742.51,34196.93,48071.77,27246.67,31074.64,49877.93,171632.86,12231.45,21292.26,22641.35,96761.02,82701.51,53902.4,16855.22,28299.23,34886.63,92215.78,77772.5,73437.42,42070.28,6574.92,60277.37,97518.32,123937.06,109883.15,11513.69,37476.3,5204.94,31634.17,25531.72,29710.54,140875.27,90741.63,71110.56,73243.13,26437.11,93667.98,25510.19,14201.32,132060.72,32615.71,79242.35,77610.5,21296.94,101047.65,18878.46
348,3175.74,68573.82,143912.33,46786.56,248745.51,12639.14,2610.32,17397.55,15144.52,28293.31,15380.33,39443.61,44975.61,81997.91,30169.11,54978.66,59782.65,52303.68,43003.4,81158.09,34336.6,55381.08,82808.31,27222.6,24620.0,30582.1,29025.49,95620.17,48791.8,51790.65,71070.7,31856.19,16262.66,31929.18,49338.7,29257.14,58070.39,31819.68,38796.97,57866.63,112532.18,25116.35,42705.31,81663.19,18227.53,43514.91,73661.94,29116.5,48618.13,57572.56,7344.41,16750.49
349,75799.99,68183.89,51735.08,18334.21,6139.33,44529.52,53948.51,2664.51,36938.05,56044.77,74605.06,71803.58,124333.54,52606.87,91599.47,5830.58,59124.76,11026.3,89821.1,31362.88,18666.65,71410.99,25957.57,73687.1,32198.03,27177.3,24741.0,68869.98,40053.12,49621.96,12673.72,71143.39,21717.23,18371.63,89851.8,54524.36,96566.82,35585.65,84431.23,56531.32,16819.59,24646.18,63617.64,8824.24,18601.53,10815.84,116421.53,118024.14,39527.83,81728.38,133244.64,82070.58
350,38942.89,50965.23,45325.64,38137.49,68280.71,139859.69,35597.43,57669.16,74304.78,50603.58,28075.59,44470.04,59932.09,39750.03,59755.47,44136.09,49572.29,17398.48,39788.43,58050.86,57714.12,74171.31,15692.24,91860.66,48667.49,87328.09,98856.77,69126.38,31121.88,35203.53,27258.73,21749.02,24523.79,17346.56,29594.33,31505.14,94973.51,28918.91,35934.25,50827.66,18869.87,57698.81,24566.6,60557.81,78498.84,31737.78,24652.46,31290.13,25229.52,51983.53,31640.5,158463.62
351,42956.07,48342.11,10496.06,102845.51,63281.92,144430.23,58474.56,49810.58,48250.55,25402.84,55897.06,114303.11,72092.14,34828.95,24768.03,85406.66,36461.77,117585.14,33477.94,75194.9,63973.05,144105.44,87383.27,8513.15,26656.91,38209.63,20760.06,160324.27,13593.89,23477.44,8829.76,84101.64,39146.17,7207.45,35014.94,54404.69,11769.58,50838.77,39078.75,55285.69,73498.88,83531.91,113658.97,45454.68,59440.03,40860.63,24477.59,80033.16,71439.14,57528.74,21125.21,130689.34
352,96363.04,97645.79,42196.41,93380.41,49650.75,19182.93,20067.57,60474.75,139170.14,51317.01,36923.34,21927.61,41482.9,52520.07,67724.71,66727.99,28390.16,20072.19,14911.82,29287.7,31607.71,65693.14,14728.22,71149.14,41086.29,35256.2,20864.78,82598.55,57538.08,67523.5,66790.68,31395.19,28904.0,48836.5,22828.91,52288.75,66273.56,15604.83,58416.81,131846.53,53402.38,19382.93,16105.03,30472.78,46946.77,69621.11,43151.04,14632.28,62905.07,12762.51,35678.07,81039.37
353,76407.74,46918.93,54450.81,62546.87,54750.55,114838.04,138508.74,101115.17,88316.23,19060.75,32145.71,56570.12,44177.88,45047.29,40887.99,74026.93,35584.21,59532.02,63399.82,92691.8,18290.54,18836.32,11633.67,58651.46,45399.51,38312.22,39527.85,80992.5,118373.76,27535.08,33803.61,31810.53,51609.5,6164.66,75019.72,29746.61,69015.75,43891.6,55220.31,68292.6,51691.09,44075.3,46079.48,13220.38,24571.27,82042.94,24978.4,43502.73,60930.97,59846.89,65513.23,39251.98
354,54721.71,72208.21,45774.54,68316.31,83202.63,31101.25,28795.88,40394.78,10439.78,62366.5,43050.32,90740.35,50088.2,9988.52,75271.86,34888.02,33081.44,34886.97,16558.32,9583.95,40970.33,19347.65,14640.75,37069.95,29672.41,41059.37,12908.04,11395.18,20125.03,119068.98,51804.86,14026.25,33365.84,126530.87,28654.84,117719.41,10803.72,132595.13,24339.8,5617.24,199426.54,23131.23,23413.06,11243.83,42153.99,19604.16,88483.92,37508.26,20996.27,148984.96,27068.2,113387.01
355,8915.54,186449.86,61917.22,18573.62,38101.92,15418.38,94775.93,72033.86,26482.71,53078.19,126126.54,46420.19,19576.18,93096.67,58999.85,13263.19,45799.43,59903.59,37880.85,36426.2,38200.71,17881.19,35003.47,80504.05,224747.9,28884.71,10885.69,16491.04,122600.15,38811.44,47852.44,33516.05,65177.21,37270.54,136868.11,4928.11,55720.31,26433.33,46249.04,11896.42,55717.41,79629.1,4273.88,23469.48,21233.62,108320.9,86662.08,88879.36,23772.07,30929.11,7287.56,79168.5
356,25866.14,127101.36,168477.1,23978.46,33066.44,13183.15,14502.46,37036.97,9826.44,16639.54,24015.14,30234.24,143683.06,22889.27,77991.73,27764.33,50285.77,99491.93,57604.23,75444.74,40128.08,33579.63,116532.54,44596.34,8659.81,94133.94,146841.11,13417.26,28116.6,85460.85,31362.45,60193.27,46082.7,93238.39,27822.84,11824.73,78770.77,21925.28,86103.2,19073.07,6730.45,21075.22,40867.93,55133.28,27159.25,106336.83,38016.53,127580.43,75047.43,71349.25,12684.04,66391.24
357,23409.19,10692.11,25144.39,110641.35,12558.81,47616.29,40199.6,35330.2,97018.92,52364.46,17755.19,121516.3,36997.49,20734.47,69434.72,16561.77,87633.12,40908.95,68563.24,14177.56,53490.19,52540.83,44292.23,13632.95,106910.37,47630.7,55423.95,21034.06,41683.85,44253.13,94525.65,9080.66,40447.4,48760.45,69588.93,31851.1,18897.66,58818.4,10222.91,36812.38,20131.23,40072.31,16418.6,32493.39,30046.5,28802.56,41256.12,5441.99,66211.53,21111.88,27356.73,35279.61
358,39253.0,53886.49,51797.65,152006.94,10996.66,9755.23,52256.92,76460.47,11403.83,40974.02,106914.27,32655.63,105012.32,35064.06,28527.95,6134.62,42191.31,12357.79,18449.87,48289.23,49829.69,16353.82,29048.09,24106.13,105061.15,21081.57,20470.92,65325.58,93868.43,54159.1,36726.88,23097.17,40376.73,53362.29,24852.45,40387.22,6093.71,114747.4,33957.22,54967.66,36677.6,58198.45,82907.87,207357.32,44429.92,37347.75,89176.57,118917.19,53992.46,9878.69,8002.93,57493.91
359,12777.93,40819.04,49861.52,62930.9,51975.6,33344.64,69492.75,52483.83,31285.55,43675.05,50240.09,25614.41,74608.99,64207.08,78193.7,7286.37,11222.85,41875.99,28859.48,13890.76,120684.34,70876.4,46101.08,30446.59,19768.96,26593.52,14580.16,27164.71,29319.05,56548.86,30135.27,77156.98,9278.03,14299.5,125371.62,82227.76,3872.64,19684.4,89585.73,39991.15,42191.27,73095.92,21532.55,47572.45,149112.64,25950.6,20526.26,40100.01,49242.31,10292.65,74362.74,28860.72
360,28958.59,45200.06,103544.98,54545.91,41329.77,30407.43,39787.4,43717.82,42488.41,5263.97,22099.69,61716.18,39123.28,118576.76,49331.75,84114.75,52800.73,26182.87,55048.25,37771.59,78978.75,1762.6,46815.97,24873.6,50179.13,41255.38,24483.96,34520.87,24744.65,23924.92,49170.93,60411.96,57655.12,41173.98,73264.97,104033.85,4595.16,27867.88,11283.54,71807.23,41361.05,95946.18,24961.06,20649.69,58195.65,34232.3,35168.75,136841.65,13855.67,32789.93,23621.99,29037.03
361,15031.63,17727.72,72813.57,62343.54,92918.76,100986.73,24499.52,95412.02,36800.23,16136.42,41544.21,6443.96,20967.58,48741.4,57431.85,60955.8,35965.22,15411.25,44436.64,27349.67,19766.2,64428.32,81047.76,45188.91,69029.97,40629.27,27625.03,110231.3,82252.22,44408.48,39747.24,42245.16,41458.11,64179.17,29775.4,111700.46,22852.84,33854.14,57072.84,32966.97,8387.3,27239.74,50614.7,76288.11,3275.22,36421.12,50240.78,68104.44,29508.05,25351.89,34050.45,71459.78
362,90248.91,69403.48,122014.54,123390.99,49073.0,31134.98,29466.55,65743.36,17155.54,18482.55,113852.23,9792.06,75796.43,47779.55,163854.44,118016.13,57105.4,76999.69,12096.47,43610.19,19280.79,34672.67,48185.57,69688.3,67126.12,17064.1,23444.64,67498.72,35428.89,92346.32,42689.02,24338.54,29316.29,95901.67,8170.78,15704.59,21653.1,115275.04,37385.27,135119.76,17181.6,18633.85,100162.97,15515.72,28440.85,24825.18,33700.6,84392.56,62839.23,77406.82,22464.25,11154.62
363,95592.17,42444.78,77648.73,76732.9,7458.29,34476.87,124822.51,57502.88,48705.93,189887.81,60869.39,48151.42,75033.06,12852.05,34176.39,36138.41,33751.61,93343.1,86681.41,65886.37,51237.3,28015.3,34115.61,79935.12,10020.55,79982.33,51883.37,25011.88,6194.56,30165.01,11780.6,88149.99,153652.15,94800.76,35227.77,100971.99,59981.77,40219.73,60271.04,55898.81,120170.6,76786.1,9675.13,73701.39,23679.08,41044.01,119251.8,2511.32,77916.09,61835.01,8008.06,67762.97
364,66670.54,34984.7,57268.74,118656.87,76157.73,25811.29,20070.33,9089.86,56453.63,52784.6,5899.96,32106.32,84327.7,5755.83,32664.05,34299.36,107434.25,44503.82,17300.36,13875.46,53905.75,63388.52,20301.05,73577.8,40082.26,22239.36,28035.54,77798.27,22374.58,28415.86,3714.56,34302.58,15781.12,46920.21,71033.4,49291.36,23931.51,20558.17,2757.13,3964.37,46081.55,30987.93,46446.63,9124.48,23843.62,15287.65,164882.62,112265.49,65757.17,105061.52,50850.55,63758.07
365,71567.78,1659.34,113383.2,46210.36,30488.07,71450.88,101273.14,34847.62,55961.58,66039.13,51045.88,64309.5,56768.71,9374.56,43394.8,16974.35,54261.1,65472.34,140998.56,21483.31,55158.47,30254.81,69852.25,6565.05,80087.53,17498.85,29647.41,77563.08,40628.06,35247.76,15925.96,62903.28,37011.34,16829.18,39174.82,36884.34,50541.07,19009.61,18868.35,72579.01,26095.34,50120.22,64455.69,40079.09,45517.61,2106.14,51242.56,65091.33,77960.64,41579.66,48672.24,26148.8
366,43402.1,43175.55,33789.65,75070.88,72798.04,140753.41,27598.3,80284.05,112549.67,7755.38,26683.6,22205.16,79520.6,7703.8,25762.37,17348.2,3488.88,5631.63,35328.48,88595.49,75279.89,119911.61,26270.98,86487.51,32178.06,51340.42,73658.75,76042.73,46527.49,37388.47,19860.27,90163.28,29991.18,24755.6,83642.13,62304.68,149399.17,28263.1,110760.87,54518.56,63419.03,22717.77,124170.3,16297.41,10905.96,56230.49,10813.31,2933.13,34558.25,120115.25,6241.08,40257.82
367,23799.32,32763.06,30982.09,126816.7,86453.8,25696.39,83554.43,51215.31,55329.83,20072.1,51812.0,24513.71,25788.63,39076.25,14023.05,10663.26,72211.85,107165.65,37659.79,92524.44,49400.96,58935.12,36173.03,51916.4,36393.23,10920.89,110101.3,51560.97,35254.29,23560.57,41626.82,17400.93,38627.09,13703.99,16698.1,41756.91,48996.92,58258.46,36400.48,101907.46,20819.03,33278.93,11048.18,44995.12,111696.98,31015.23,22976.86,38146.89,149512.95,26507.12,68044.51,19566.42
